Order/PO Number,External ID,ASIN,Merchant SKU,Title,List price,Discount,Cost,Quantity Ordered,Previously Confirmed Quantity,Quantity Confirmed,Quantity Canceled,Quantity Received,Hand Off Start,Hand Off End,Hand Off Type,Expected Hand Off Date,Availability Status,Error From Previous Upload Attempt,Vendor code,Fulfillment Center,Consolidation ID,Condition,Order date,Is Back Order,Freight terms,Payment Method,Special Instructions,Comments,Legal Entity Id,Currency code,External ID type,Item Package Quantity,Aggregate Quantity,Merchant Customer ID,Merchant Sku ratio,Priority
3PFV2NZH,6221319454863,B0H5KRDS39,,"Junior Baby Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Blue, 09",,,341.54,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319454757,B0H5KPNQ1X,,"Junior Baby Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Green, 06",,,341.54,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319455013,B0H5KGCY1N,,"Junior Baby Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Blue, 24",,,341.54,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319477275,B0H5R2XFSR,,"Junior Boys Sports Shorts – Lightweight Quick Dry Athletic Shorts for Running, Training, Gym & Outdoor Play, Black, 06",,,398.55,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319457222,B0H5R91C8F,,"Junior Boys Sports T-Shirt – Lightweight Breathable Activewear for Running, Training, Gym & Outdoor Activities, Black, 14",,,284.52,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319455419,B0H5KNSTF1,,"Junior Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Green, 04",,,387.15,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319454764,B0H5KQ82VG,,"Junior Baby Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Green, 36",,,341.54,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319457192,B0H5R2FN94,,"Junior Boys Sports T-Shirt – Lightweight Breathable Activewear for Running, Training, Gym & Outdoor Activities, Grey, 08",,,301.62,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319455136,B0H5KHLYK2,,"Junior Boys Swim Shorts – Quick Dry Beach Shorts for Swimming, Summer Vacation & Pool Wear, Blue, 12",,,387.15,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
3PFV2NZH,6221319457031,B0H5R4CKBJ,,"Junior Boys Sports T-Shirt – Lightweight Breathable Activewear for Running, Training, Gym & Outdoor Activities, Grey, 04",,,301.62,5,,5,,,07-нжбне-2026,01-ГЯКжИС-2026,Delivery,07-нжбне-2026,AC - Accepted: In stock,,399U9,SPX5,,Unconfirmed,26-нжднж-2026,NO,Prepaid,Invoice,,,,,,,,,,
