«·»«—ﬂÊœ;QUANT
11090;1
123322;2
123442;3
123444;2
117732;2
123603;2
123604;2
123642;2
124563;2
123820;2
141735;2
117671;2
103933;2
119558;2
108749;3
108739;3
108804;3
145616;3
145617;3
145618;4
145619;4
145626;4
145505;2
145546;2
145548;2
145629;3
145632;3
145633;3
145635;2
145640;2
145641;22
145643;3
145644;3
145647;33
145605;3
145607;33
145655;22
145656;222
145657;33
145660;22
145661;22
145662;222
145663;33
145665;2
145666;22
145667;2
145670;2
145673;2
145675;2
145680;3
145681;3
145682;3
145534;3
145713;3
145600;3
145719;3
145720;3
145721;3
152688;3
152694;3
145854;3
145869;3
145870;3
145871;3
152660;3
152662;3
152663;3
152665;3
152666;3
87539;3
143400;3
143402;3
143521;3
143535;3
143599;3
143600;3
143658;3
143685;3
143710;3
143711;3
143712;3
143725;3
153948;3
153950;3
153959;3
153971;3
153974;3
154000;3
154003;3
154022;3
154026;3
154048;3
154049;3
154052;3
154053;3
154080;3
154101;3
154112;3
154130;3
154131;3
154157;3
154166;3
154167;3
154172;3
154173;3
154177;3
154182;3
154215;3
154223;3
154224;3
154225;3
154230;3
154234;3
154260;3
154261;3
154262;3
154275;3
154287;3
150130;3
150132;3
150137;3
150152;3
150161;3
150187;3
150207;3
150208;3
150233;3
150237;3
150256;3
150286;3
150300;3
150344;3
150349;3
150374;3
150388;3
150452;3
150477;3
140442;3
141320;3
142552;3
148869;3
148872;3
149608;3
149684;3
152161;3
152171;3
152172;3
152184;3
152185;3
143955;3
144032;3
144085;3
144090;3
144103;3
144146;3
144163;3
144182;3
144184;3
144185;3
144186;3
144198;3
144212;3
144223;3
144225;3
144297;3
144298;3
144304;3
144305;3
144332;3
144385;3
144401;3
144429;3
144430;3
144454;3
144455;3
144459;3
144555;3
144561;3
144566;3
144588;3
144764;3
144769;3
144798;3
144823;3
144830;3
144884;3
144981;3
145334;3
145336;3
145338;3
145343;3
145344;3
145345;3
145348;3
145350;3
145361;3
145362;3
145364;3
145365;3
145366;3
145379;3
145380;3
145381;3
145386;3
145387;3
