»«—ﬂÊœ;⁄œœ Ã—œ;ZONE;;;;;;;;;;;;;;;
105392;8;f2 z10 mahmoud;;;;;;;;;;;;;;;
14448;1;f2 z10 mahmoud;;;;;;;;;;;;;;;
118448;15;f2 z10 mahmoud;;;;;;;;;;;;;;;
117657;17;f2 z10 mahmoud;;;;;;;;;;;;;;;
114915;1;zone end essam;;;;;;;;;;;;;;;
141872;1;zone end essam;;;;;;;;;;;;;;;
92409;1;zone end essam;;;;;;;;;;;;;;;
270;1;zone end essam;;;;;;;;;;;;;;;
123321;1;zone end essam;;;;;;;;;;;;;;;
104547;1;zone end essam;;;;;;;;;;;;;;;
95477;1;zone end essam;;;;;;;;;;;;;;;
142002;1;zone end essam;;;;;;;;;;;;;;;
141923;1;zone end essam;;;;;;;;;;;;;;;
73634;1;zone end essam;;;;;;;;;;;;;;;
113623;1;zone end essam;;;;;;;;;;;;;;;
105617;1;zone end essam;;;;;;;;;;;;;;;
113619;1;zone end essam;;;;;;;;;;;;;;;
105579;1;zone end essam;;;;;;;;;;;;;;;
122635;1;zone end essam;;;;;;;;;;;;;;;
69211;1;zone end essam;;;;;;;;;;;;;;;
72016;2;zone end essam;;;;;;;;;;;;;;;
74465;1;zone end essam;;;;;;;;;;;;;;;
103935;1;zone end essam;;;;;;;;;;;;;;;
145743;1;zone end essam;;;;;;;;;;;;;;;
74545;1;zone end essam;;;;;;;;;;;;;;;
145890;1;zone end essam;;;;;;;;;;;;;;;
113634;1;zone end essam;;;;;;;;;;;;;;;
43687;1;zone end essam;;;;;;;;;;;;;;;
43674;1;zone end essam;;;;;;;;;;;;;;;
117612;1;zone end essam;;;;;;;;;;;;;;;
121219;1;zone end essam;;;;;;;;;;;;;;;
121221;1;zone end essam;;;;;;;;;;;;;;;
121224;1;zone end essam;;;;;;;;;;;;;;;
121231;2;zone end essam;;;;;;;;;;;;;;;
147919;1;zone end essam;;;;;;;;;;;;;;;
147637;1;zone end essam;;;;;;;;;;;;;;;
121229;1;zone end essam;;;;;;;;;;;;;;;
148294;1;zone end essam;;;;;;;;;;;;;;;
148253;1;zone end essam;;;;;;;;;;;;;;;
158303;1;zone end essam;;;;;;;;;;;;;;;
147777;1;zone end essam;;;;;;;;;;;;;;;
121220;1;zone end essam;;;;;;;;;;;;;;;
147662;1;zone end essam;;;;;;;;;;;;;;;
155551;1;zone end essam;;;;;;;;;;;;;;;
148037;1;zone end essam;;;;;;;;;;;;;;;
121232;2;zone end essam;;;;;;;;;;;;;;;
157604;1;zone end essam;;;;;;;;;;;;;;;
95684;1;zone end essam;;;;;;;;;;;;;;;
152785;1;zone end essam;;;;;;;;;;;;;;;
155496;1;zone end essam;;;;;;;;;;;;;;;
157940;1;zone end essam;;;;;;;;;;;;;;;
136635;1;zone end essam;;;;;;;;;;;;;;;
116278;2;zone end essam;;;;;;;;;;;;;;;
157404;1;zone end essam;;;;;;;;;;;;;;;
105200;1;zone end essam;;;;;;;;;;;;;;;
104640;1;zone end essam;;;;;;;;;;;;;;;
157423;1;zone end essam;;;;;;;;;;;;;;;
157403;2;zone end essam;;;;;;;;;;;;;;;
157405;1;zone end essam;;;;;;;;;;;;;;;
152357;1;zone end essam;;;;;;;;;;;;;;;
76916;1;zone end essam;;;;;;;;;;;;;;;
121926;1;zone end essam;;;;;;;;;;;;;;;
79306;1;zone end essam;;;;;;;;;;;;;;;
70211;1;zone end essam;;;;;;;;;;;;;;;
116980;1;zone end essam;;;;;;;;;;;;;;;
116161;1;zone end essam;;;;;;;;;;;;;;;
153866;1;zone end essam;;;;;;;;;;;;;;;
57220;1;zone end essam;;;;;;;;;;;;;;;
81359;1;zone end essam;;;;;;;;;;;;;;;
14722;1;zone end essam;;;;;;;;;;;;;;;
149150;1;zone end essam;;;;;;;;;;;;;;;
149144;2;zone end essam;;;;;;;;;;;;;;;
13823;2;zone end essam;;;;;;;;;;;;;;;
151526;1;zone end essam;;;;;;;;;;;;;;;
153905;1;zone end essam;;;;;;;;;;;;;;;
1677;1;zone end essam;;;;;;;;;;;;;;;
124057;1;zone end essam;;;;;;;;;;;;;;;
132064;1;zone end essam;;;;;;;;;;;;;;;
119560;1;zone end essam;;;;;;;;;;;;;;;
26230;1;zone end essam;;;;;;;;;;;;;;;
103946;1;zone end essam;;;;;;;;;;;;;;;
2849;1;zone end essam;;;;;;;;;;;;;;;
122634;1;zone end essam;;;;;;;;;;;;;;;
146874;1;zone end essam;;;;;;;;;;;;;;;
2852;1;zone end essam;;;;;;;;;;;;;;;
26231;1;zone end essam;;;;;;;;;;;;;;;
61137;1;zone end essam;;;;;;;;;;;;;;;
13794;1;zone end essam;;;;;;;;;;;;;;;
146902;1;zone end essam;;;;;;;;;;;;;;;
373;1;zone end essam;;;;;;;;;;;;;;;
15970;2;zone end essam;;;;;;;;;;;;;;;
59178;1;zone end essam;;;;;;;;;;;;;;;
77107;3;zone end essam;;;;;;;;;;;;;;;
130412;1;zone end essam;;;;;;;;;;;;;;;
146895;1;zone end essam;;;;;;;;;;;;;;;
3225;1;zone end essam;;;;;;;;;;;;;;;
11246;1;zone end essam;;;;;;;;;;;;;;;
153594;1;zone end essam;;;;;;;;;;;;;;;
85546;1;zone end essam;;;;;;;;;;;;;;;
124199;1;zone end essam;;;;;;;;;;;;;;;
68531;1;zone end essam;;;;;;;;;;;;;;;
123018;10;zone end essam;;;;;;;;;;;;;;;
56040;1;zone end essam;;;;;;;;;;;;;;;
43769;1;zone end essam;;;;;;;;;;;;;;;
44244;7;zone end essam;;;;;;;;;;;;;;;
23316;2;zone end essam;;;;;;;;;;;;;;;
