Tracking,Picked-Up Date,Cod Amount
9476788422,"07-13-2026, 20:04:20",0
2855205951,"07-13-2026, 20:04:10",1285
1694719897,"07-13-2026, 20:04:05",975
8130030398,"07-13-2026, 20:03:55",2082
4980929679,"07-13-2026, 20:03:29",1283.5
1322462701,"07-13-2026, 20:03:24",613
7661287186,"07-13-2026, 20:03:22",399.5
3901983402,"07-13-2026, 20:03:20",0
8674630704,"07-13-2026, 20:03:16",300
1042075304,"07-13-2026, 20:03:14",305
6501743354,"07-13-2026, 20:03:11",2816
4088269838,"07-13-2026, 20:03:10",1280.75
2837150229,"07-13-2026, 20:03:09",2457
3801122385,"07-13-2026, 20:03:03",250
1219885711,"07-13-2026, 20:03:00",1947
4909017801,"07-13-2026, 20:02:57",570
2167596947,"07-13-2026, 20:02:56",1845
3896891065,"07-13-2026, 20:02:55",1230
4893954406,"07-13-2026, 20:02:53",0
8509861564,"07-13-2026, 20:02:43",975
9668807792,"07-13-2026, 20:02:39",1255
4097117617,"07-13-2026, 20:02:38",0
3566781145,"07-13-2026, 20:02:27",1185
3280800157,"07-13-2026, 20:02:26",500
1504064512,"07-13-2026, 20:02:24",0
193636850,"07-13-2026, 20:02:23",439
2247088024,"07-13-2026, 20:02:21",742.5
559341085,"07-13-2026, 20:02:00",3634
1434261543,"07-13-2026, 20:01:57",1585
1683328992,"07-13-2026, 20:01:56",895
214999203,"07-13-2026, 20:01:53",0
9132685973,"07-13-2026, 20:01:51",455
9974405463,"07-13-2026, 20:01:48",430
2975284472,"07-13-2026, 20:01:47",0
4806968062,"07-13-2026, 20:01:45",635
7439357120,"07-13-2026, 20:01:44",0
4726184922,"07-13-2026, 20:01:42",1134.25
179140629,"07-13-2026, 20:01:41",1110
8132412069,"07-13-2026, 20:01:18",975
2718120095,"07-13-2026, 20:01:06",645
1897276858,"07-13-2026, 20:01:05",2142
4385345387,"07-13-2026, 20:01:03",895
6312635172,"07-13-2026, 20:00:20",638.5
1299522012,"07-13-2026, 20:00:17",594.25
6547813078,"07-13-2026, 20:00:14",1385
6126922011,"07-13-2026, 20:00:12",809.5
6536183912,"07-13-2026, 20:00:08",526.75
2294436767,"07-13-2026, 20:00:07",0
7630767586,"07-13-2026, 20:00:05",180
2855315217,"07-13-2026, 20:00:03",361.75
9705766033,"07-13-2026, 15:03:17",0
602003219,"07-13-2026, 15:03:17",1367.5
167527201,"07-13-2026, 15:03:17",415
3136215777,"07-13-2026, 15:03:17",1644.25
2681735996,"07-13-2026, 15:03:17",1122
4013764454,"07-13-2026, 19:55:15",1322.5
1727347320,"07-13-2026, 19:55:22",1010
5963500747,"07-13-2026, 19:57:17",0
27272664,"07-13-2026, 19:57:19",695
5264599863,"07-13-2026, 19:57:21",570
4756338529,"07-13-2026, 19:57:39",608.5
3766651689,"07-13-2026, 19:57:41",420
2312953883,"07-13-2026, 19:57:49",1285
9052935706,"07-13-2026, 19:57:54",650
4280977827,"07-13-2026, 19:58:00",2255
1052463199,"07-13-2026, 19:58:06",605
8789962921,"07-13-2026, 19:58:09",495
1147050962,"07-13-2026, 19:58:10",680
8901982220,"07-13-2026, 19:58:11",625
8936458169,"07-13-2026, 19:58:12",0
5300032072,"07-13-2026, 19:58:13",0
9260048840,"07-13-2026, 19:58:14",1265
7401192370,"07-13-2026, 19:59:07",1135
4336090073,"07-13-2026, 19:59:09",735
8723014821,"07-13-2026, 19:59:10",395
417166208,"07-13-2026, 19:59:13",1255
706080112,"07-13-2026, 19:59:14",420
3409108056,"07-13-2026, 19:59:16",385
1174764708,"07-13-2026, 19:59:17",1383
7105151235,"07-13-2026, 19:59:18",544.25
9568858123,"07-13-2026, 19:59:18",0
2455587004,"07-13-2026, 19:59:22",2529
2769524822,"07-13-2026, 19:59:24",685
9097513665,"07-13-2026, 19:59:25",556.75
1479925520,"07-13-2026, 19:59:25",695
9420607849,"07-13-2026, 19:59:50",1235
3332899857,"07-13-2026, 19:59:58",331.75
5797720736,"07-13-2026, 20:00:02",0
